,userId,time,countryCode,guest,LAST(wallet_payouts.price),MAX(tv_rewards.amount),MIN(tv_rewards.amount),AVG_TIME_BETWEEN(web_requests.timestamp),MIN(wallet_payouts.price),MEAN(wallet_payouts.price),COUNT(tv_rewards),"UNIQUE_COUNT(web_requests.sessionId, timestamp)",COUNT(web_requests),"LIFESPAN(web_requests.url, timestamp)",LAST(web_requests.sessionId),MAX(wallet_payouts.price),"LIFESPAN(web_requests.sessionId, timestamp)",AVG_TIME_BETWEEN(wallet_payouts.timestamp),LAST(web_requests.url),"UNIQUE_COUNT(web_requests.url, timestamp)",AVG_TIME_BETWEEN(tv_rewards.timestamp),SUM(tv_rewards.amount),COUNT(wallet_payouts),SUM(wallet_payouts.price),MEAN(tv_rewards.amount),LAST(tv_rewards.amount),label
67,64428918,2018-12-07 02:16:59.988,IN,False,,,,51.06350000000001,,,0.0,1.0,5.0,3.404233333333333,C0DDB29CE09129565AD4CCC63C551FFB,,3.404233333333333,,https://air-rewards.com/dashboard/user/profile/update,5.0,,0.0,0.0,0.0,,,1.0
68,64448308,2018-12-07 02:57:46.281,IN,False,,,,12.4942,,,0.0,1.0,11.0,2.0823666666666667,AC8319F4A95E4A38E345DBD2F0CA109B,,2.0823666666666667,,https://air-rewards.com/dashboard/user/profile/update,6.0,,0.0,0.0,0.0,,,1.0
69,64450909,2018-12-07 03:04:50.683,IN,False,,,,118.40369811320757,,,0.0,2.0,54.0,104.58993333333332,E8F082BC652FBB6FE203F7BF599A46AE,,104.58993333333332,,https://air-rewards.com/dashboard/artv/upload,14.0,,0.0,0.0,0.0,,,1.0
70,64453125,2018-12-07 03:11:39.832,IN,False,,,,10.029823529411765,,,0.0,1.0,18.0,2.8417833333333333,0EB0DB095C8834730D51D3F3F305CDFB,,2.8417833333333333,,https://air-rewards.com/dashboard/bonustask,9.0,,0.0,0.0,0.0,,,1.0
71,64461652,2018-12-07 03:39:09.122,IN,False,,,,6.602565217391303,,,0.0,1.0,24.0,2.5309833333333334,B5E4EEECCB5ED87F938CF831AD59FA2D,,2.5309833333333334,,https://air-rewards.com/dashboard/wallet,8.0,,0.0,0.0,0.0,,,1.0
72,64466776,2018-12-07 03:44:46.906,IN,False,5.0,20.0,20.0,229.71357763975158,1.0,2.6666666666666665,150.0,7.0,323.0,1232.7962,EF7B04041B610090D813AB70A1538754,5.0,1232.7962,30324.112500000007,https://www.air-rewards.com/dashboard/wallet,22.0,493.07991275167785,3000.0,3.0,8.0,20.0,20.0,0.0
73,64468376,2018-12-07 03:51:22.321,IN,False,,,,7.6248648648648665,,,0.0,1.0,38.0,4.702,24B959CA73106C156085C084A0B42320,,4.702,,https://air-rewards.com/dashboard/artv/watch,11.0,,0.0,0.0,0.0,,,1.0
74,64471281,2018-12-07 03:56:59.145,IN,False,,20.0,20.0,35.2015,,,4.0,1.0,11.0,5.8669166666666674,C4A289CAF90EE9B45FD13E0B38651164,,5.8669166666666674,,https://air-rewards.com/dashboard/wallet,4.0,62.34566666666666,80.0,0.0,0.0,20.0,20.0,1.0
75,64470660,2018-12-07 03:58:45.223,IN,False,,,,21.351000000000006,,,0.0,1.0,9.0,2.8468,5A6909943316569366A95CD9DBA1A78A,,2.8468,,https://air-rewards.com/dashboard/artv/upload,8.0,,0.0,0.0,0.0,,,1.0
76,64481633,2018-12-07 04:30:43.453,IN,False,,,,22.494736111111113,,,0.0,1.0,73.0,26.99368333333333,75D7C14E70B5BAD99C3B9EE19885B56D,,26.99368333333333,,https://air-rewards.com/dashboard/shop,14.0,,0.0,0.0,0.0,,,1.0
77,64435591,2018-12-07 08:52:30.950,IN,False,,20.0,20.0,28.84863492063493,,,2.0,1.0,64.0,30.291066666666666,FD3A04DC613D426E64D0FFAFF7E1962F,,30.291066666666666,,https://air-rewards.com/dashboard/wallet,14.0,909.36,40.0,0.0,0.0,20.0,20.0,1.0
78,64469355,2018-12-07 09:34:36.404,IN,False,,,,15.33975,,,0.0,1.0,5.0,1.02265,9D2F99B1C44277BDCBD58291686CAD46,,1.02265,,https://air-rewards.com/dashboard/rules/wawrules,4.0,,0.0,0.0,0.0,,,1.0
79,64510943,2018-12-07 09:42:11.812,IN,False,,,,7.6526,,,0.0,1.0,41.0,5.101733333333333,A8B7720105DC8A888CE5778C6F763EC8,,5.101733333333333,,https://air-rewards.com/dashboard/bonustask,10.0,,0.0,0.0,0.0,,,1.0
80,64513861,2018-12-07 10:42:56.566,IN,False,,,,5.63865,,,0.0,1.0,21.0,1.87955,45B65A5E48EB2B68F68CF181CB0C0959,,1.87955,,https://air-rewards.com/dashboard/user/profile/update,8.0,,0.0,0.0,0.0,,,1.0
81,64514674,2018-12-07 10:59:53.741,IN,False,,20.0,20.0,55.55056923076923,,,48.0,2.0,66.0,60.17978333333333,039299C7C4748BC25875DF8C7DF78F89,,60.17978333333333,,https://air-rewards.com/dashboard/artv/watch,9.0,68.38521276595745,960.0,0.0,0.0,20.0,20.0,0.0
82,64536074,2018-12-07 17:47:55.758,IN,False,,20.0,20.0,685.3618474576273,,,32.0,4.0,60.0,673.93915,6C1858FE0FA7B862BB0860F9E92549FA,,673.93915,,https://air-rewards.com/login,13.0,1232.8353870967742,640.0,0.0,0.0,20.0,20.0,0.0
83,64555191,2018-12-08 00:58:28.375,IN,False,,,,29.354846153846154,,,0.0,1.0,14.0,6.360216666666667,3C43C2062E8966B3C09612984D155066,,6.360216666666667,,https://air-rewards.com/dashboard/user/profile/update,9.0,,0.0,0.0,0.0,,,1.0
84,64576614,2018-12-08 01:50:18.580,IN,False,1.0,20.0,20.0,344.64321875,1.0,1.0,81.0,6.0,161.0,919.0485833333332,584A0CCD7F28C5B1F277A021FC6624F7,1.0,919.0485833333332,9253.595666666666,https://air-rewards.com/dashboard/artv/watch,15.0,685.8654875000002,1620.0,4.0,4.0,20.0,20.0,0.0
